iter	Passed	Remaining
0	145	145721
1	148	74345
2	151	50433
3	155	38610
4	158	31487
5	161	26733
6	164	23368
7	167	20826
8	171	18839
9	174	17265
10	177	15967
11	180	14848
12	184	14010
13	187	13209
14	189	12473
15	191	11800
16	193	11178
17	194	10634
18	196	10135
19	197	9668
20	198	9239
21	199	8869
22	200	8524
23	201	8191
24	202	7882
25	202	7593
26	203	7326
27	203	7078
28	204	6852
29	205	6636
30	205	6433
31	206	6243
32	206	6064
33	207	5896
34	208	5737
35	208	5587
36	209	5444
37	209	5311
38	210	5183
39	210	5062
40	211	4954
41	212	4852
42	213	4748
43	214	4666
44	215	4576
45	216	4485
46	216	4398
47	217	4314
48	218	4233
49	218	4155
50	219	4080
51	219	4008
52	220	3939
53	221	3873
54	221	3808
55	222	3745
56	222	3685
57	223	3626
58	223	3570
59	224	3516
60	225	3465
61	225	3418
62	226	3376
63	228	3342
64	229	3302
65	230	3258
66	230	3215
67	231	3172
68	232	3131
69	232	3090
70	233	3051
71	233	3013
72	234	2975
73	234	2939
74	235	2904
75	236	2870
76	236	2836
77	237	2803
78	237	2772
79	238	2741
80	238	2710
81	239	2681
82	239	2651
83	240	2626
84	241	2601
85	243	2587
86	244	2562
87	244	2537
88	245	2512
89	246	2487
90	246	2463
91	247	2439
92	247	2416
93	248	2394
94	249	2372
95	249	2350
96	250	2331
97	251	2310
98	251	2290
99	252	2270
100	252	2251
101	253	2231
102	254	2214
103	255	2197
104	256	2184
105	257	2168
106	258	2157
107	259	2140
108	259	2124
109	260	2108
110	261	2091
111	261	2075
112	262	2059
113	263	2044
114	263	2028
115	264	2013
116	264	1997
117	265	1982
118	265	1968
119	266	1953
120	267	1939
121	267	1925
122	282	2013
123	282	1999
124	283	1984
125	284	1970
126	284	1956
127	285	1942
128	285	1929
129	286	1918
130	287	1906
131	288	1894
132	289	1887
133	290	1876
134	290	1864
135	291	1852
136	292	1840
137	292	1828
138	293	1816
139	293	1805
140	294	1793
141	294	1781
142	295	1770
143	296	1759
144	296	1749
145	297	1738
146	297	1727
147	298	1717
148	298	1707
149	299	1697
150	300	1687
151	300	1677
152	301	1668
153	302	1659
154	302	1650
155	304	1646
156	305	1639
157	305	1630
158	306	1621
159	307	1612
160	307	1603
161	308	1594
162	308	1586
163	309	1577
164	310	1569
165	310	1561
166	311	1553
167	312	1545
168	312	1538
169	313	1530
170	314	1522
171	314	1515
172	315	1507
173	316	1503
174	317	1496
175	318	1492
176	319	1487
177	320	1481
178	321	1474
179	322	1467
180	322	1460
181	323	1453
182	324	1446
183	324	1439
184	325	1433
185	325	1426
186	326	1419
187	327	1412
188	327	1406
189	328	1399
190	328	1393
191	329	1387
192	330	1380
193	331	1375
194	332	1373
195	333	1367
196	334	1364
197	335	1359
198	336	1353
199	337	1348
200	337	1342
201	338	1336
202	338	1330
203	339	1325
204	340	1319
205	340	1313
206	341	1308
207	342	1302
208	342	1296
209	343	1291
210	343	1286
211	344	1281
212	345	1275
213	346	1271
214	346	1266
215	347	1261
216	348	1258
217	349	1253
218	350	1248
219	350	1243
220	351	1238
221	352	1233
222	352	1228
223	353	1223
224	353	1219
225	354	1214
226	355	1209
227	355	1204
228	356	1199
229	357	1195
230	357	1190
231	358	1186
232	359	1182
233	359	1178
234	360	1173
235	361	1170
236	362	1165
237	362	1161
238	363	1157
239	364	1153
240	365	1149
241	365	1145
242	366	1140
243	366	1136
244	367	1132
245	367	1127
246	368	1123
247	369	1119
248	369	1115
249	370	1110
250	370	1106
251	371	1102
252	372	1098
253	372	1094
254	373	1090
255	373	1086
256	374	1082
257	374	1078
258	375	1074
259	376	1071
260	377	1067
261	377	1064
262	378	1061
263	379	1057
264	379	1053
265	380	1049
266	381	1046
267	381	1042
268	382	1038
269	382	1035
270	383	1031
271	384	1028
272	384	1024
273	385	1021
274	386	1017
275	386	1014
276	387	1010
277	387	1007
278	388	1004
279	389	1000
280	389	997
281	390	994
282	391	992
283	392	988
284	392	985
285	393	982
286	394	979
287	395	976
288	396	975
289	396	971
290	397	968
291	398	965
292	398	962
293	399	959
294	400	956
295	400	953
296	401	950
297	402	947
298	402	944
299	403	941
300	404	938
301	404	935
302	405	932
303	406	930
304	406	927
305	407	924
306	408	922
307	409	919
308	410	916
309	410	914
310	411	911
311	411	908
312	412	905
313	413	902
314	413	899
315	414	897
316	415	894
317	415	891
318	416	888
319	416	885
320	417	883
321	418	880
322	418	877
323	419	874
324	419	872
325	420	869
326	421	867
327	422	865
328	423	862
329	423	860
330	424	858
331	425	855
332	425	852
333	426	850
334	427	847
335	427	845
336	428	842
337	428	839
338	429	837
339	430	834
340	430	832
341	431	830
342	432	827
343	432	825
344	433	823
345	434	820
346	434	818
347	435	816
348	436	814
349	437	811
350	438	810
351	439	808
352	439	806
353	440	803
354	441	801
355	441	799
356	442	796
357	443	794
358	443	792
359	444	790
360	445	787
361	445	785
362	446	783
363	447	781
364	447	778
365	448	776
366	449	774
367	449	772
368	450	770
369	451	768
370	452	766
371	453	765
372	453	763
373	454	761
374	455	759
375	456	756
376	456	754
377	457	752
378	458	750
379	458	748
380	459	746
381	459	743
382	460	741
383	461	739
384	461	737
385	462	735
386	462	733
387	463	731
388	464	728
389	464	726
390	465	724
391	466	723
392	467	721
393	468	720
394	469	718
395	470	716
396	470	715
397	471	713
398	472	711
399	472	709
400	473	707
401	474	705
402	475	703
403	476	702
404	476	700
405	477	698
406	478	696
407	478	694
408	479	692
409	479	690
410	480	689
411	481	687
412	484	688
413	485	686
414	486	685
415	486	683
416	487	681
417	488	679
418	488	677
419	489	676
420	490	674
421	491	672
422	491	670
423	492	669
424	493	667
425	493	665
426	494	663
427	495	662
428	496	660
429	498	660
430	499	659
431	500	658
432	501	656
433	502	654
434	502	652
435	503	651
436	504	649
437	505	648
438	505	646
439	506	644
440	507	642
441	507	641
442	508	639
443	509	637
444	510	636
445	511	635
446	512	634
447	513	632
448	514	631
449	515	629
450	515	627
451	516	626
452	517	624
453	517	622
454	518	621
455	519	619
456	520	617
457	520	616
458	521	614
459	522	613
460	523	612
461	526	612
462	527	611
463	530	612
464	531	611
465	533	610
466	534	609
467	535	608
468	535	606
469	536	605
470	537	603
471	538	602
472	539	601
473	540	599
474	542	599
475	544	599
476	545	597
477	546	596
478	546	594
479	547	593
480	548	591
481	549	590
482	550	588
483	550	587
484	551	585
485	552	584
486	553	583
487	555	582
488	556	581
489	557	580
490	558	578
491	559	577
492	560	576
493	560	574
494	561	572
495	562	571
496	563	570
497	564	568
498	564	567
499	565	565
500	566	563
501	566	562
502	567	560
503	568	559
504	569	557
505	569	556
506	572	556
507	573	555
508	574	554
509	575	552
510	576	551
511	576	549
512	577	548
513	578	546
514	579	545
515	579	543
516	580	542
517	581	540
518	582	539
519	582	537
520	583	536
521	584	535
522	585	534
523	587	533
524	588	532
525	589	530
526	589	529
527	590	527
528	591	526
529	591	524
530	592	523
531	593	521
532	593	520
533	594	518
534	594	517
